Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
6904,Smitsstraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.472521480261598, 51.43660934940343], ""type"": ""Point""}","51.43660934940343, 5.472521480261598",Bergen,"45,8"
6906,Smitsstraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.472422417267376, 51.436539659087266], ""type"": ""Point""}","51.436539659087266, 5.472422417267376",Bergen,"45,8"
6910,St Catharinastraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.47197332800064, 51.436495593797886], ""type"": ""Point""}","51.436495593797886, 5.47197332800064",Bergen,"45,8"
6911,St Catharinastraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471915074571361, 51.436544786282404], ""type"": ""Point""}","51.436544786282404, 5.471915074571361",Bergen,"45,8"
6914,St Catharinastraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471707324703856, 51.43668763251012], ""type"": ""Point""}","51.43668763251012, 5.471707324703856",Bergen,"45,8"
7124,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474828146924142, 51.46844527910671], ""type"": ""Point""}","51.46844527910671, 5.474828146924142",Winkelcentrum,"38,7"
7125,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474859647195794, 51.4684436194639], ""type"": ""Point""}","51.4684436194639, 5.474859647195794",Winkelcentrum,"38,7"
7128,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474941014665504, 51.468441913261806], ""type"": ""Point""}","51.468441913261806, 5.474941014665504",Winkelcentrum,"38,7"
7129,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474366304043308, 51.46850628116745], ""type"": ""Point""}","51.46850628116745, 5.474366304043308",Winkelcentrum,"38,7"
7131,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474452907073794, 51.46850294443603], ""type"": ""Point""}","51.46850294443603, 5.474452907073794",Winkelcentrum,"38,7"
7135,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474584156298007, 51.46850120109238], ""type"": ""Point""}","51.46850120109238, 5.474584156298007",Winkelcentrum,"38,7"
7346,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467300064954589, 51.438725179022555], ""type"": ""Point""}","51.438725179022555, 5.467300064954589","Eliasterrein, Vonderkwartier","47,9"
7349,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467394904331597, 51.43871834523643], ""type"": ""Point""}","51.43871834523643, 5.467394904331597","Eliasterrein, Vonderkwartier","47,9"
7353,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467500573533426, 51.438711494912305], ""type"": ""Point""}","51.438711494912305, 5.467500573533426","Eliasterrein, Vonderkwartier","47,9"
7361,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.46748388641927, 51.43846422805162], ""type"": ""Point""}","51.43846422805162, 5.46748388641927","Eliasterrein, Vonderkwartier","47,9"
7362,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.46748662902849, 51.43848624840673], ""type"": ""Point""}","51.43848624840673, 5.46748662902849","Eliasterrein, Vonderkwartier","47,9"
7363,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467492083918753, 51.43850487816099], ""type"": ""Point""}","51.43850487816099, 5.467492083918753","Eliasterrein, Vonderkwartier","47,9"
7364,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467494823544635, 51.43852519965885], ""type"": ""Point""}","51.43852519965885, 5.467494823544635","Eliasterrein, Vonderkwartier","47,9"
7365,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.46750028439117, 51.438547209149384], ""type"": ""Point""}","51.438547209149384, 5.46750028439117","Eliasterrein, Vonderkwartier","47,9"
7366,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467343255049219, 51.43862692107729], ""type"": ""Point""}","51.43862692107729, 5.467343255049219","Eliasterrein, Vonderkwartier","47,9"
7568,Schootsestraat,Parkeerplaats,1.0,"{""coordinates"": [5.4528294117092395, 51.44689247073229], ""type"": ""Point""}","51.44689247073229, 5.4528294117092395",Strijp S,"38,6"
7570,Schootsestraat,Parkeerplaats,1.0,"{""coordinates"": [5.452562471349311, 51.447165679645366], ""type"": ""Point""}","51.447165679645366, 5.452562471349311",Strijp S,"38,6"
7584,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.449747652733593, 51.44649671149976], ""type"": ""Point""}","51.44649671149976, 5.449747652733593",Schoot,"37,2"
7585,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.450073503722317, 51.44661695697939], ""type"": ""Point""}","51.44661695697939, 5.450073503722317",Schoot,"37,2"
7593,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.450429682223292, 51.446707890998], ""type"": ""Point""}","51.446707890998, 5.450429682223292",Schoot,"37,2"
7596,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.450632936924471, 51.446788606417], ""type"": ""Point""}","51.446788606417, 5.450632936924471",Schoot,"37,2"
7597,Kreugelstraat,Parkeerplaats,1.0,"{""coordinates"": [5.450831331615437, 51.446827987059066], ""type"": ""Point""}","51.446827987059066, 5.450831331615437",Schoot,"37,2"
6919,St Catharinastraat,Parkeerplaats Vergunning,1.0,"{""coordinates"": [5.471628941074408, 51.43682562778603], ""type"": ""Point""}","51.43682562778603, 5.471628941074408",Bergen,"45,8"
6921,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.4737676587987645, 51.46876017183896], ""type"": ""Point""}","51.46876017183896, 5.4737676587987645",Winkelcentrum,"38,7"
6924,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473868458882795, 51.46876009685544], ""type"": ""Point""}","51.46876009685544, 5.473868458882795",Winkelcentrum,"38,7"
