,neighbourhood,Amount of parking places,amount of charging stations,Personenauto's overige brandstof|2013,Personenauto's overige brandstof|2014,Personenauto's overige brandstof|2015,Personenauto's overige brandstof|2016,Personenauto's overige brandstof|2017,Personenauto's overige brandstof|2018,Personenauto's overige brandstof|2019,Personenauto's overige brandstof|2020,Personenauto's overige brandstof|2021,Personenauto's overige brandstof|2022,avg_income,Amount of EV proximity parking places
63,Vlokhoven,0.0,4.0,240,210,215,225,215,205,210,210,185,170,"34,3",0.0
64,Doornakkers-Oost,0.0,4.0,230,205,195,180,175,185,185,175,175,155,"32,0",0.0
65,Gerardusplein,0.0,4.0,200,215,215,210,230,230,215,230,225,245,"49,6",0.0
66,'t Hofke,0.0,4.0,255,230,210,220,190,195,220,210,215,230,"39,3",0.0
67,Oude Gracht-Oost,0.0,4.0,105,115,110,110,110,110,105,115,120,130,"63,9",0.0
68,Genderbeemd,0.0,4.0,275,255,270,275,280,285,305,305,325,340,"47,1",0.0
69,Puttense Dreef,0.0,4.0,100,100,105,115,120,120,110,120,130,135,"69,3",0.0
70,Mensfort,0.0,4.0,230,205,190,180,190,200,195,210,190,190,"35,1",0.0
71,Gijzenrooi,0.0,3.0,185,180,185,185,185,185,180,180,195,205,"67,0",0.0
72,Kerstroosplein,0.0,3.0,115,115,110,110,110,100,100,115,110,100,"33,9",0.0
73,Genneperzijde,0.0,3.0,90,90,90,95,115,115,105,110,110,120,"53,6",0.0
74,Barrier,0.0,3.0,135,125,140,125,120,120,105,105,115,110,"41,9",0.0
75,Jagershoef,0.0,3.0,155,150,150,150,155,140,155,160,160,170,"33,1",0.0
76,Eikenburg,0.0,3.0,145,145,145,165,170,165,170,160,165,175,"74,2",0.0
77,Rapelenburg,0.0,2.0,55,45,45,45,50,50,45,60,60,60,"41,9",0.0
78,Ooievaarsnest,0.0,2.0,80,80,75,80,80,85,90,100,110,115,"72,6",0.0
79,Gennep,0.0,2.0,5,5,5,5,5,5,5,5,5,5,.,0.0
80,Engelsbergen,0.0,2.0,90,85,85,100,95,105,95,65,85,85,"55,2",0.0
81,Oude Toren,0.0,2.0,80,75,70,70,75,75,75,75,85,80,"33,7",0.0
82,Bosrijk,0.0,2.0,35,45,40,35,40,40,40,35,40,50,"73,7",0.0
83,Nieuwe Erven,0.0,2.0,55,60,50,45,50,45,50,45,30,45,"31,6",0.0
84,Schuttersbosch,0.0,2.0,45,45,45,45,50,55,55,60,75,85,"56,8",0.0
85,Driehoeksbos,0.0,2.0,110,105,95,95,100,90,105,115,120,130,"74,1",0.0
86,Sportpark Aalsterweg,0.0,1.0,5,0,0,5,0,0,5,10,5,5,.,0.0
87,Hondsheuvels,0.0,1.0,5,5,5,0,0,0,0,5,5,5,"31,0",0.0
88,"Bennekel-West, Gagelbosch",0.0,1.0,180,175,170,170,175,165,165,155,160,170,"34,8",0.0
89,Blaarthem,0.0,1.0,155,135,135,130,125,135,135,145,140,135,"33,8",0.0
90,Luytelaer,0.0,1.0,100,95,100,100,105,105,105,110,120,135,"77,9",0.0
91,Bokt,0.0,1.0,15,15,15,10,10,15,15,15,15,15,.,0.0
92,Castiliëlaan,0.0,1.0,15,15,15,15,20,25,20,15,15,15,.,0.0
